row,col,x,y,z
1,1,500050.0,4640950.0,119.107
1,2,500150.0,4640950.0,121.52
1,3,500250.0,4640950.0,123.652
1,4,500350.0,4640950.0,125.436
1,5,500450.0,4640950.0,126.875
1,6,500550.0,4640950.0,128.043
1,7,500650.0,4640950.0,129.069
1,8,500750.0,4640950.0,130.108
1,9,500850.0,4640950.0,131.316
1,10,500950.0,4640950.0,132.813
1,11,501050.0,4640950.0,134.661
1,12,501150.0,4640950.0,136.849
1,13,501250.0,4640950.0,139.299
1,14,501350.0,4640950.0,141.88
2,1,500050.0,4640850.0,120.133
2,2,500150.0,4640850.0,122.545
2,3,500250.0,4640850.0,124.677
2,4,500350.0,4640850.0,126.461
2,5,500450.0,4640850.0,127.9
2,6,500550.0,4640850.0,129.069
2,7,500650.0,4640850.0,130.094
2,8,500750.0,4640850.0,131.133
2,9,500850.0,4640850.0,132.341
2,10,500950.0,4640850.0,133.838
2,11,501050.0,4640850.0,135.686
2,12,501150.0,4640850.0,137.874
2,13,501250.0,4640850.0,140.325
2,14,501350.0,4640850.0,142.905
3,1,500050.0,4640750.0,121.068
3,2,500150.0,4640750.0,123.48
3,3,500250.0,4640750.0,125.612
3,4,500350.0,4640750.0,127.396
3,5,500450.0,4640750.0,128.836
3,6,500550.0,4640750.0,130.004
3,7,500650.0,4640750.0,131.029
3,8,500750.0,4640750.0,132.068
3,9,500850.0,4640750.0,133.277
3,10,500950.0,4640750.0,134.774
3,11,501050.0,4640750.0,136.621
3,12,501150.0,4640750.0,138.81
3,13,501250.0,4640750.0,141.26
3,14,501350.0,4640750.0,143.84
4,1,500050.0,4640650.0,121.949
4,2,500150.0,4640650.0,124.361
4,3,500250.0,4640650.0,126.493
4,4,500350.0,4640650.0,128.277
4,5,500450.0,4640650.0,129.717
4,6,500550.0,4640650.0,130.885
4,7,500650.0,4640650.0,131.91
4,8,500750.0,4640650.0,132.949
4,9,500850.0,4640650.0,134.157
4,10,500950.0,4640650.0,135.655
4,11,501050.0,4640650.0,137.502
4,12,501150.0,4640650.0,139.691
4,13,501250.0,4640650.0,142.141
4,14,501350.0,4640650.0,144.721
5,1,500050.0,4640550.0,122.819
5,2,500150.0,4640550.0,125.231
5,3,500250.0,4640550.0,127.363
5,4,500350.0,4640550.0,129.147
5,5,500450.0,4640550.0,130.587
5,6,500550.0,4640550.0,131.755
5,7,500650.0,4640550.0,132.78
5,8,500750.0,4640550.0,133.819
5,9,500850.0,4640550.0,135.028
5,10,500950.0,4640550.0,136.525
5,11,501050.0,4640550.0,138.372
5,12,501150.0,4640550.0,140.561
5,13,501250.0,4640550.0,143.011
5,14,501350.0,4640550.0,145.591
6,1,500050.0,4640450.0,123.723
6,2,500150.0,4640450.0,126.135
6,3,500250.0,4640450.0,128.267
6,4,500350.0,4640450.0,130.051
6,5,500450.0,4640450.0,131.491
6,6,500550.0,4640450.0,132.659
6,7,500650.0,4640450.0,133.684
6,8,500750.0,4640450.0,134.723
6,9,500850.0,4640450.0,135.932
6,10,500950.0,4640450.0,137.429
6,11,501050.0,4640450.0,139.276
6,12,501150.0,4640450.0,141.465
6,13,501250.0,4640450.0,143.915
6,14,501350.0,4640450.0,146.495
7,1,500050.0,4640350.0,124.701
7,2,500150.0,4640350.0,127.113
7,3,500250.0,4640350.0,129.245
7,4,500350.0,4640350.0,131.029
7,5,500450.0,4640350.0,132.469
7,6,500550.0,4640350.0,133.637
7,7,500650.0,4640350.0,134.662
7,8,500750.0,4640350.0,135.701
7,9,500850.0,4640350.0,136.909
7,10,500950.0,4640350.0,138.407
7,11,501050.0,4640350.0,140.254
7,12,501150.0,4640350.0,142.442
7,13,501250.0,4640350.0,144.893
7,14,501350.0,4640350.0,147.473
8,1,500050.0,4640250.0,125.783
8,2,500150.0,4640250.0,128.195
8,3,500250.0,4640250.0,130.327
8,4,500350.0,4640250.0,132.111
8,5,500450.0,4640250.0,133.551
8,6,500550.0,4640250.0,134.719
8,7,500650.0,4640250.0,135.744
8,8,500750.0,4640250.0,136.783
8,9,500850.0,4640250.0,137.992
8,10,500950.0,4640250.0,139.489
8,11,501050.0,4640250.0,141.336
8,12,501150.0,4640250.0,143.525
8,13,501250.0,4640250.0,145.975
8,14,501350.0,4640250.0,148.555
9,1,500050.0,4640150.0,126.985
9,2,500150.0,4640150.0,129.397
9,3,500250.0,4640150.0,131.529
9,4,500350.0,4640150.0,133.313
9,5,500450.0,4640150.0,134.753
9,6,500550.0,4640150.0,135.921
9,7,500650.0,4640150.0,136.946
9,8,500750.0,4640150.0,137.986
9,9,500850.0,4640150.0,139.194
9,10,500950.0,4640150.0,140.691
9,11,501050.0,4640150.0,142.538
9,12,501150.0,4640150.0,144.727
9,13,501250.0,4640150.0,147.177
9,14,501350.0,4640150.0,149.757
10,1,500050.0,4640050.0,128.307
10,2,500150.0,4640050.0,130.719
10,3,500250.0,4640050.0,132.851
10,4,500350.0,4640050.0,134.635
10,5,500450.0,4640050.0,136.075
10,6,500550.0,4640050.0,137.243
10,7,500650.0,4640050.0,138.268
10,8,500750.0,4640050.0,139.308
10,9,500850.0,4640050.0,140.516
10,10,500950.0,4640050.0,142.013
10,11,501050.0,4640050.0,143.86
10,12,501150.0,4640050.0,146.049
10,13,501250.0,4640050.0,148.499
10,14,501350.0,4640050.0,151.079
